time,result,x,y,Year,Month,Day,d_0,d_1,d_3,d_4,o_0,o_1,o_3,o_4,s_0,s_1,s_3,s_4,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1584.0,1,27.0,13.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,33,80.0,71.0,33.0,4.0,9.4,0.426,1.2,3.0,0.39,2.8,6.4,0.442,0.488,1.5,1.8,0.834,0.6,3.4,4.0,3.4,1.3,0.2,1.4,1.8
1530.0,1,41.0,10.0,2009,10,27,0.0,3,1.0,1.0,0.0,3,1.0,1.0,0.0,1.0,0.0,0.0,24,76.0,76.0,29.6,3.6,6.3,0.577,0.0,0.0,0.0,3.6,6.3,0.58,0.577,1.3,2.1,0.6,2.7,5.5,8.1,1.3,0.3,2.0,2.2,3.3
1506.0,-1,33.0,13.0,2009,10,27,0.0,3,1.0,1.0,0.0,3,1.0,1.0,0.0,1.0,0.0,0.0,33,80.0,71.0,33.0,4.0,9.4,0.426,1.2,3.0,0.39,2.8,6.4,0.442,0.488,1.5,1.8,0.834,0.6,3.4,4.0,3.4,1.3,0.2,1.4,1.8
1504.0,-1,24.0,5.0,2009,10,27,0.0,3,1.0,1.0,0.0,3,1.0,1.0,0.0,0.0,0.0,1.0,26,81.0,42.0,28.5,3.3,6.2,0.536,0.0,0.0,0.0,3.3,6.2,0.538,0.536,1.9,3.1,0.616,2.0,5.1,7.2,1.0,0.9,0.8,1.0,3.0
1500.0,1,2.0,15.0,2009,10,27,0.0,2,1.0,2.0,0.0,2,2.0,1.0,0.0,1.0,0.0,0.0,33,79.0,79.0,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0
1461.0,-1,42.0,10.0,2009,10,27,0.0,2,2.0,1.0,0.0,2,1.0,2.0,0.0,1.0,0.0,0.0,24,76.0,76.0,29.6,3.6,6.3,0.577,0.0,0.0,0.0,3.6,6.3,0.58,0.577,1.3,2.1,0.6,2.7,5.5,8.1,1.3,0.3,2.0,2.2,3.3
1440.0,-1,11.0,27.0,2009,10,27,0.0,2,1.0,2.0,0.0,2,2.0,1.0,0.0,0.0,1.0,0.0,22,75.0,0.0,23.9,2.7,7.0,0.391,1.4,3.8,0.382,1.3,3.3,0.402,0.493,0.9,1.1,0.767,0.4,1.7,2.1,1.8,0.6,0.2,0.8,2.2
1419.0,1,25.0,8.0,2009,10,27,0.0,2,2.0,1.0,0.0,2,1.0,2.0,0.0,0.0,0.0,1.0,24,76.0,76.0,29.6,3.6,6.3,0.577,0.0,0.0,0.0,3.6,6.3,0.58,0.577,1.3,2.1,0.6,2.7,5.5,8.1,1.3,0.3,2.0,2.2,3.3
1395.0,1,40.0,20.0,2009,10,27,0.0,1,2.0,2.0,0.0,2,2.0,1.0,0.0,0.0,0.0,1.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
1376.0,1,11.0,9.0,2009,10,27,0.0,2,2.0,1.0,0.0,1,2.0,2.0,0.0,1.0,0.0,0.0,24,76.0,76.0,29.6,3.6,6.3,0.577,0.0,0.0,0.0,3.6,6.3,0.58,0.577,1.3,2.1,0.6,2.7,5.5,8.1,1.3,0.3,2.0,2.2,3.3
